status,requested_timestamp,requested_lat,requested_lng,pickup_timestamp,pickup_address,pickup_lat,pickup_lng,destination_address,dropoff_timestamp,dropoff_lat,dropoff_lng
finished,2022-05-07 07:21:31 UTC,35.07866,-106.59743,2022-05-07 07:42:13 UTC,"4200 Central Ave SE, Albuquerque, NM, United States",35.0787,-106.597604,"1901 University Blvd NE, Albuquerque, NM 87102, United States",2022-05-07 07:51:21 UTC,35.10796,-106.62441
canceled,2021-06-20 17:24:30 UTC,29.450490000000002,-98.68196999999999,,"9914 W Military Dr, San Antonio, TX 78251, United States",,,"9427 Culebra Rd, San Antonio, TX, United States",,,
finished,2022-05-15 07:58:13 UTC,37.77926,-122.39106000000001,2022-05-15 08:03:07 UTC,"138 King St, San Francisco, CA, United States",37.779315,-122.391148,"220 Jones St, San Francisco, CA, United States",2022-05-15 08:13:18 UTC,37.78337,-122.41252
finished,2022-05-03 17:03:35 UTC,29.555089000000002,-98.614761,2022-05-03 17:10:44 UTC,"6563 Babcock Rd, San Antonio, TX, United States",29.554981,-98.614687,"9914 Military Dr W, San Antonio, TX, United States",2022-05-03 17:33:37 UTC,29.45146,-98.68233
finished,2022-05-03 21:03:39 UTC,29.450546000000003,-98.681824,2022-05-03 21:08:38 UTC,"9914 Military Dr W, San Antonio, TX 78251-1762, United States",29.451534,-98.682339,"6563 Babcock Rd, San Antonio, TX, United States",2022-05-03 21:32:24 UTC,29.55505,-98.61471
finished,2022-05-19 22:11:14 UTC,29.451420000000002,-98.68219,2022-05-19 22:21:10 UTC,,29.45145,-98.68246,"10430 Potranco Rd, San Antonio, TX 78251, United States",2022-05-19 22:36:44 UTC,29.435394,-98.698345
finished,2021-06-24 15:55:49 UTC,29.450490000000002,-98.68196999999999,2021-06-24 15:59:36 UTC,"9914 W Military Dr, San Antonio, TX 78251, United States",29.45147,-98.68239,"5611 N Loop 1604 W, San Antonio, TX, United States",2021-06-24 16:16:29 UTC,29.59258,-98.59653
finished,2021-06-16 19:53:51 UTC,29.475459999999998,-98.60911,2021-06-16 20:02:18 UTC,"5988 Northwest Loop 410, San Antonio, TX 78238, USA",29.4756,-98.60914,"9914 W Military Dr, San Antonio, TX, United States",2021-06-16 20:13:14 UTC,29.45159,-98.6825
finished,2021-06-01 19:13:27 UTC,29.49035,-98.62206,2021-06-01 19:15:11 UTC,"6209 Grissom Rd, Leon Valley, TX 78238, United States",29.49024,-98.62192,"9914 W Military Dr, San Antonio, TX, United States",2021-06-01 19:26:48 UTC,29.45124,-98.68265
finished,2021-06-02 13:12:03 UTC,29.45157,-98.68229000000001,2021-06-02 13:18:12 UTC,"10131 Military Dr W, San Antonio, TX 78251, United States",29.45139,-98.68239,"Terminal A, American",2021-06-02 13:36:28 UTC,29.52729,-98.47281
finished,2022-05-15 05:57:39 UTC,37.76175,-122.38895,2022-05-15 06:03:28 UTC,"601 19th St, San Francisco, CA, United States",37.761722,-122.388891,"138 King St, San Francisco, CA, United States",2022-05-15 06:11:38 UTC,37.77921,-122.39098
finished,2021-06-18 17:19:58 UTC,29.450490000000002,-98.68196999999999,2021-06-18 17:29:28 UTC,"9914 W Military Dr, San Antonio, TX, United States",29.45144,-98.68239,"9427 Culebra Rd, San Antonio, TX, United States",2021-06-18 17:38:02 UTC,29.48694,-98.66891
finished,2022-05-07 03:28:12 UTC,35.107852,-106.624481,2022-05-07 03:37:32 UTC,"1901 University Blvd NE, Albuquerque, NM 87102, United States",35.107858,-106.624422,"4200 Central Ave SE, Albuquerque, NM, United States",2022-05-07 03:48:51 UTC,35.07866,-106.59743
finished,2022-05-19 17:05:35 UTC,29.451434999999996,-98.682265,2022-05-19 17:09:30 UTC,"10131 Military Dr W, San Antonio, TX 78251, United States",29.45146,-98.68239,"6531 NW Loop 410, San Antonio, TX, United States",2022-05-19 17:22:37 UTC,29.4623,-98.62324
finished,2021-06-28 16:23:06 UTC,29.45143,-98.68234,2021-06-28 16:29:24 UTC,"10131 Military Dr W, San Antonio, TX 78251, United States",29.45137,-98.68241,"8770 Broadway, Lyft Flexdrive",2021-06-28 16:50:33 UTC,29.5189,-98.46186
finished,2022-05-15 10:15:43 UTC,37.78337,-122.41252,2022-05-15 10:21:09 UTC,"220 Jones St, San Francisco, CA, United States",37.783379,-122.412479,"138 King St, San Francisco, CA 94107, United States",2022-05-15 10:28:50 UTC,37.77928,-122.3911
